nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.2689075630252101,2.37,2.82,2.25,2.25,112.50%
Strawberries,0.20168067226890757,2.16,2.69,2.25,2.37,163.06%
Strawberries,0.1876750700280112,2.63,3.37,3.0,3.24,260.00%
Strawberries,0.2689075630252101,2.29,2.41,1.75,2.87,104.39%
Strawberries,0.2801120448179272,1.71,3.37,2.66,3.37,135.38%
Strawberries,0.2408963585434174,1.85,2.49,1.99,2.43,110.58%
Strawberries,0.257703081232493,2.19,2.49,3.24,2.62,139.55%
Strawberries,0.35294117647058826,2.02,3.87,2.19,2.99,92.19%
Strawberries,0.3305322128851541,1.98,3.09,3.24,2.37,96.32%
Strawberries,0.4285714285714286,2.66,2.59,3.99,3.62,88.01%
Strawberries,0.49019607843137253,2.62,3.87,2.57,3.12,57.77%
Strawberries,0.4705882352941177,2.62,3.12,3.12,2.37,50.94%
Strawberries,0.4369747899159664,3.0,4.37,4.24,2.99,109.77%
Strawberries,0.33333333333333337,2.37,2.47,3.0,2.5,88.69%
Strawberries,0.3137254901960785,2.74,3.99,3.5,3.0,154.42%
Strawberries,0.3977591036414566,3.12,3.5,4.49,4.49,143.75%
Strawberries,0.3781512605042017,3.37,4.62,3.99,3.37,150.82%
Strawberries,0.6358543417366946,3.49,4.49,5.74,4.37,84.59%
Strawberries,0.9019607843137254,4.74,3.99,5.66,5.99,49.85%
Strawberries,0.8571428571428572,4.18,4.49,5.24,5.49,49.69%
Strawberries,0.6890756302521008,4.49,4.49,4.66,4.99,76.42%
Strawberries,0.6274509803921569,4.99,4.37,4.24,5.49,97.21%
Strawberries,0.5854341736694677,4.16,3.54,4.49,5.24,91.96%
Strawberries,0.6050420168067226,3.49,4.16,4.12,4.24,71.05%
Strawberries,0.47338935574229696,3.49,4.12,3.49,3.25,91.84%
Strawberries,0.28291316526610644,3.24,3.74,3.24,2.75,172.48%
Strawberries,0.2661064425770308,3.19,3.62,3.62,3.37,205.31%
Strawberries,0.3249299719887956,3.32,3.62,3.74,3.49,164.37%
Strawberries,0.30532212885154064,3.16,2.99,2.0,3.62,131.69%
Strawberries,0.24369747899159666,3.49,3.12,3.49,3.25,217.86%
Strawberries,0.2408963585434174,3.74,3.0,3.12,3.37,218.03%
Strawberries,0.23249299719887956,3.49,2.87,2.75,3.25,205.94%
Strawberries,0.24369747899159666,3.36,2.84,3.24,3.24,201.90%
Strawberries,0.24369747899159666,3.24,3.25,3.49,3.62,223.81%
Strawberries,0.23809523809523814,3.33,2.75,3.49,3.37,214.08%
Strawberries,0.2408963585434174,3.24,3.24,3.49,3.24,217.55%
Strawberries,0.28291316526610644,2.62,2.54,3.49,2.87,142.02%
Strawberries,0.32212885154061627,2.37,2.66,3.37,3.05,115.23%
Strawberries,0.28291316526610644,2.33,2.91,3.66,2.87,147.27%
Strawberries,0.257703081232493,2.62,3.37,3.49,2.99,183.41%
Strawberries,0.22128851540616246,2.12,3.12,3.12,2.99,192.53%
Strawberries,0.1988795518207283,2.59,3.99,2.87,2.56,237.36%
Strawberries,0.1988795518207283,2.33,3.12,2.87,3.37,228.37%
Strawberries,0.24369747899159666,2.62,1.49,1.87,3.12,116.67%
Strawberries,0.23249299719887956,2.49,2.06,2.87,2.87,154.70%
Strawberries,0.22689075630252103,2.44,2.83,3.24,2.99,190.40%
Strawberries,0.21568627450980393,2.5,2.49,3.16,2.79,187.89%
Strawberries,0.24929971988795524,2.59,3.24,2.99,3.12,178.97%
Strawberries,0.2773109243697479,2.62,3.49,2.49,2.49,136.97%
Strawberries,0.2913165266106443,2.79,2.62,3.24,2.74,133.40%
Strawberries,0.288515406162465,2.12,2.31,2.87,2.62,104.96%
Strawberries,0.2745098039215686,2.62,2.68,2.06,2.74,117.67%
Strawberries,0.2801120448179272,2.74,2.99,2.5,2.74,132.42%
Strawberries,0.27170868347338933,2.74,2.99,2.87,2.74,146.52%
Strawberries,0.21568627450980393,2.37,3.62,2.5,1.99,175.79%
Strawberries,0.16526610644257705,2.87,3.24,2.44,2.74,266.56%
Strawberries,0.19047619047619047,2.53,2.74,2.06,2.62,189.24%
Strawberries,0.23249299719887956,2.57,3.37,3.24,2.84,197.52%
Strawberries,0.3697478991596639,2.41,2.79,2.0,2.74,65.67%
Strawberries,0.42296918767507,2.71,3.22,3.49,3.12,85.50%
Strawberries,0.4005602240896359,2.66,3.16,3.99,2.99,98.76%
Strawberries,0.4005602240896359,3.12,2.79,2.67,3.37,85.56%
Strawberries,0.4005602240896359,3.49,3.62,3.99,3.29,123.45%
Strawberries,0.4621848739495799,5.08,3.0,3.99,4.74,129.64%
Strawberries,0.7591036414565826,3.16,4.12,4.99,4.99,49.31%
Strawberries,0.8039215686274509,3.99,4.37,5.32,4.49,48.93%
Strawberries,0.9047619047619048,3.33,4.49,5.49,4.66,31.74%
Strawberries,0.8431372549019608,3.37,3.5,5.37,2.75,17.48%
Strawberries,0.8739495798319327,2.24,3.24,5.37,3.62,9.62%
Strawberries,0.6806722689075629,3.36,3.99,4.99,4.24,58.81%
Strawberries,0.6806722689075629,3.49,3.87,5.24,5.24,70.88%
Strawberries,0.6386554621848739,4.11,4.49,4.99,4.99,88.82%
Strawberries,0.6470588235294118,3.79,4.32,4.87,5.49,85.44%
Strawberries,0.6442577030812324,4.24,4.37,4.59,5.24,85.89%
Strawberries,0.5742296918767507,4.24,4.37,4.74,4.74,102.80%
Strawberries,0.5070028011204482,4.24,4.24,4.99,4.24,122.49%
Strawberries,0.4565826330532213,3.99,3.75,4.74,3.99,127.49%
Strawberries,0.3977591036414566,3.74,3.87,4.22,4.12,149.22%
Strawberries,0.44537815126050423,3.24,3.49,4.37,3.37,104.38%
Strawberries,0.4565826330532213,3.11,3.5,3.62,4.32,100.97%
Strawberries,0.3865546218487395,3.24,3.25,2.68,3.37,100.96%
Strawberries,0.2857142857142857,3.36,3.49,3.37,3.37,183.13%
Strawberries,0.2633053221288516,3.16,3.57,2.62,3.62,189.51%
Strawberries,0.24649859943977592,3.11,2.62,2.66,3.74,186.08%
Strawberries,0.2100840336134454,3.11,3.32,2.87,3.37,240.59%
Strawberries,0.22689075630252103,3.16,2.87,2.87,3.37,209.85%
Strawberries,0.2184873949579832,3.36,2.66,2.87,3.74,228.91%
Strawberries,0.24369747899159666,2.98,2.74,2.75,3.49,184.76%
Strawberries,0.319327731092437,2.74,2.99,2.68,2.74,111.17%
Strawberries,0.2969187675070028,2.83,2.86,2.68,2.5,119.15%
Strawberries,0.2408963585434174,2.69,3.25,2.87,2.87,180.77%
Strawberries,0.17647058823529416,2.56,2.39,2.75,2.41,212.04%
Strawberries,0.1400560224089636,2.49,2.91,1.87,3.24,286.40%
Strawberries,0.14285714285714285,2.99,2.27,2.68,3.37,309.78%
Strawberries,0.16246498599439774,2.49,2.57,2.49,2.37,226.32%
Strawberries,0.20448179271708689,1.99,2.45,2.99,2.99,186.26%
Strawberries,0.24369747899159666,2.33,2.12,2.99,2.25,130.71%
Strawberries,0.2184873949579832,2.56,2.74,1.83,2.99,163.54%
Strawberries,0.1988795518207283,2.32,2.16,3.0,2.66,184.83%
Strawberries,0.23529411764705882,2.74,2.37,3.0,2.87,169.12%
Strawberries,0.23529411764705882,2.5,3.75,2.99,2.99,199.75%
Strawberries,0.28291316526610644,2.74,2.56,2.75,2.87,129.41%
Strawberries,0.4005602240896359,2.59,2.99,2.7,2.12,61.49%
Strawberries,0.38375350140056025,3.12,2.54,2.17,2.62,68.55%
Strawberries,0.3557422969187675,2.37,3.49,2.7,2.87,97.07%
Strawberries,0.29411764705882354,2.5,2.99,2.25,2.12,100.41%
Strawberries,0.24929971988795524,2.87,2.74,2.66,2.37,148.60%
Strawberries,0.2184873949579832,2.49,3.12,2.62,2.54,180.47%
Strawberries,0.3025210084033614,2.87,2.5,2.0,3.04,106.55%
Strawberries,0.5070028011204482,2.49,3.49,3.19,3.49,59.05%
Strawberries,0.4397759103641457,2.86,3.26,2.37,2.62,58.71%
Strawberries,0.42016806722689076,2.83,3.37,3.62,2.99,90.63%
Strawberries,0.4481792717086835,2.94,2.62,3.75,3.49,79.78%
Strawberries,0.6806722689075629,2.74,3.33,4.62,3.12,32.28%
Strawberries,0.7086834733893557,2.61,2.32,4.32,3.74,19.83%
Strawberries,0.7871148459383753,2.87,3.24,4.49,4.24,24.08%
Strawberries,0.57703081232493,2.86,3.12,3.49,3.99,50.22%
Strawberries,0.6722689075630252,2.99,3.87,4.24,2.62,32.95%
Strawberries,0.6526610644257702,2.87,3.62,3.99,3.37,37.95%
Strawberries,0.5938375350140055,3.11,3.49,3.99,2.5,42.28%
Strawberries,0.38375350140056025,3.49,3.12,3.5,3.87,125.48%
Strawberries,0.3669467787114846,3.61,4.99,3.74,4.12,176.17%
Strawberries,0.6414565826330533,4.24,4.49,3.99,4.99,79.25%
Strawberries,0.7899159663865546,4.86,3.99,4.74,5.74,61.08%
Strawberries,0.8207282913165266,4.4,4.99,4.99,5.24,57.72%
Strawberries,0.7507002801120447,4.03,4.49,4.49,4.24,50.79%
Strawberries,0.599439775910364,3.66,3.12,3.74,3.74,53.66%
Strawberries,0.5182072829131652,3.71,3.49,3.67,3.12,72.29%
Strawberries,0.42016806722689076,3.16,3.74,3.89,3.37,110.71%
Strawberries,0.2801120448179272,2.78,3.87,3.79,3.74,200.42%
Strawberries,0.288515406162465,3.03,3.87,3.79,3.37,190.50%
Strawberries,0.30532212885154064,3.28,3.62,3.79,3.99,188.98%
Strawberries,0.3445378151260504,3.35,3.74,3.99,3.99,167.20%
Strawberries,0.4061624649859944,3.31,3.49,3.13,4.24,117.33%
Strawberries,0.3977591036414566,3.01,3.62,2.99,3.99,112.66%
Strawberries,0.40896358543417366,3.03,2.99,3.12,3.74,96.34%
Strawberries,0.3781512605042017,2.93,3.24,2.75,3.12,96.73%
Strawberries,0.3081232492997199,2.69,3.62,2.62,3.87,150.00%
Strawberries,0.2969187675070028,2.93,3.37,2.47,2.83,133.87%
Strawberries,0.2801120448179272,2.94,2.09,2.32,2.5,108.69%
Strawberries,0.2661064425770308,2.69,3.62,2.45,3.0,160.18%
Strawberries,0.2605042016806723,2.81,3.12,2.94,2.62,158.78%
Strawberries,0.24369747899159666,2.81,2.62,1.93,3.12,149.52%
Strawberries,0.2521008403361345,2.98,2.87,2.75,3.32,175.93%
Strawberries,0.28291316526610644,2.49,2.62,2.75,2.49,117.44%
Strawberries,0.2969187675070028,2.49,1.87,2.2,3.0,92.74%
Strawberries,0.2633053221288516,2.73,2.79,2.38,2.62,134.82%
Strawberries,0.20448179271708689,2.34,2.04,1.38,2.5,126.92%
Strawberries,0.2184873949579832,2.34,3.04,2.62,2.74,179.69%
Strawberries,0.17086834733893558,2.34,2.04,1.75,2.24,164.87%
Strawberries,0.17366946778711484,2.54,1.91,2.37,2.74,198.75%
Strawberries,0.21568627450980393,2.59,2.75,2.37,2.49,168.42%
Strawberries,0.23249299719887956,2.6,1.74,2.25,2.49,124.75%
Strawberries,0.2773109243697479,2.08,2.54,2.25,2.75,105.56%
Strawberries,0.27170868347338933,2.23,2.27,2.62,2.16,101.74%
Strawberries,0.25490196078431376,2.5,3.62,2.75,2.79,167.43%
Strawberries,0.3697478991596639,2.87,2.75,1.81,1.79,53.67%
Strawberries,0.36414565826330536,2.87,2.94,2.12,2.99,84.46%
Strawberries,0.30532212885154064,2.62,2.62,2.12,2.62,96.46%
Strawberries,0.2969187675070028,2.0,2.37,2.74,2.49,93.55%
Strawberries,0.29411764705882354,2.48,1.84,3.24,2.74,109.35%
Strawberries,0.2801120448179272,2.16,1.97,2.99,3.0,114.41%
Strawberries,0.3977591036414566,2.64,2.22,2.87,2.62,61.72%
Strawberries,0.45938375350140065,2.72,2.22,2.49,3.37,48.35%
Strawberries,0.4369747899159664,2.72,3.37,3.32,2.25,67.53%
Strawberries,0.4369747899159664,2.48,3.0,3.33,3.16,71.98%
Strawberries,0.3921568627450981,2.87,3.87,3.49,3.12,111.23%
Strawberries,0.4285714285714286,2.86,3.49,3.74,3.12,93.13%
Strawberries,0.4369747899159664,3.36,3.62,3.74,3.37,102.44%
Strawberries,0.4789915966386555,3.71,4.12,4.74,3.74,115.74%
Strawberries,0.6470588235294118,4.66,4.74,4.99,5.49,99.60%
Strawberries,0.9187675070028011,4.32,4.82,4.74,0.0,0.29%
Strawberries,0.8431372549019608,3.99,4.49,3.62,4.66,31.35%
Strawberries,0.6330532212885154,3.83,4.66,3.82,4.24,69.57%
Strawberries,0.5070028011204482,3.36,4.12,3.74,3.99,91.08%
Strawberries,0.4257703081232493,3.36,3.99,3.49,3.99,118.09%
Strawberries,0.5210084033613445,2.87,3.62,2.92,3.99,64.22%
Strawberries,0.4257703081232493,3.04,3.0,2.97,2.87,74.71%
Strawberries,0.23529411764705882,3.29,2.74,2.5,2.99,182.35%
Strawberries,0.22408963585434177,2.91,2.99,3.12,3.37,216.07%
Strawberries,0.24649859943977592,3.02,2.83,2.87,3.66,191.98%
Strawberries,0.257703081232493,3.24,3.16,2.99,3.12,184.32%
Strawberries,0.2605042016806723,3.24,3.24,2.62,3.62,186.49%
Strawberries,0.28291316526610644,3.24,3.12,3.12,3.99,182.98%
Strawberries,0.2969187675070028,3.18,3.07,2.99,3.37,154.23%
Strawberries,0.2969187675070028,3.06,3.0,2.68,4.24,161.69%
Strawberries,0.30532212885154064,2.93,3.12,2.99,3.87,154.13%
Strawberries,0.3305322128851541,2.87,2.99,2.62,3.24,115.44%
Strawberries,0.3137254901960785,2.74,2.49,2.99,3.37,122.88%
Strawberries,0.2801120448179272,2.32,2.74,2.99,3.24,139.19%
Strawberries,0.2605042016806723,2.87,2.69,2.62,3.12,154.50%
Strawberries,0.19607843137254904,2.38,2.59,3.32,2.99,220.45%
Strawberries,0.257703081232493,2.5,2.49,2.67,3.12,145.00%
Strawberries,0.24369747899159666,2.25,1.66,2.37,3.12,123.81%
Strawberries,0.2100840336134454,2.5,2.5,2.74,3.49,201.88%
Strawberries,0.2100840336134454,2.25,2.37,2.32,2.99,166.94%
Strawberries,0.23809523809523814,2.37,2.29,2.04,2.99,135.19%
Strawberries,0.24369747899159666,2.5,2.5,2.17,2.82,137.86%
Strawberries,0.22689075630252103,2.29,1.61,2.5,2.49,124.49%
Strawberries,0.17086834733893558,2.17,2.16,2.37,2.74,198.73%
Strawberries,0.16246498599439774,2.37,2.37,2.62,2.83,235.20%
Strawberries,0.18487394957983194,2.32,2.12,2.5,2.74,188.10%
Strawberries,0.2633053221288516,2.25,1.87,2.0,2.62,95.09%
Strawberries,0.2689075630252101,2.25,2.45,2.17,3.12,119.08%
Strawberries,0.27170868347338933,1.94,1.58,1.67,2.49,66.96%
Strawberries,0.22128851540616246,2.07,2.07,2.5,2.75,142.01%
Strawberries,0.19047619047619047,2.07,2.07,2.5,2.75,172.97%
Strawberries,0.23809523809523814,2.56,2.0,1.99,2.37,116.50%
Strawberries,0.22689075630252103,2.32,2.25,1.87,2.66,129.80%
Strawberries,0.23529411764705882,2.16,2.99,2.37,2.62,148.53%
Strawberries,0.22689075630252103,2.04,1.71,2.12,2.62,114.39%
Strawberries,0.2184873949579832,2.74,2.0,2.87,3.24,182.55%
Strawberries,0.2745098039215686,2.71,2.62,3.49,2.12,135.78%
Strawberries,0.4145658263305322,2.5,2.5,4.24,2.99,84.19%
Strawberries,0.4985994397759104,2.56,3.25,4.32,3.62,75.38%
Strawberries,0.5070028011204482,2.57,2.87,3.12,3.37,49.87%
Strawberries,0.5070028011204482,2.87,2.87,4.49,3.74,75.50%
Strawberries,0.4985994397759104,3.09,3.87,4.24,4.12,95.41%
Strawberries,0.4789915966386555,3.87,3.87,4.49,4.12,116.27%
Strawberries,0.5686274509803921,3.87,4.82,5.24,3.74,99.89%
Strawberries,0.6470588235294118,4.74,3.24,5.32,4.66,80.32%
Strawberries,0.8487394957983193,4.66,3.74,4.32,4.49,34.03%
Strawberries,0.0,4.65,5.49,4.49,5.99,"2,763.89%"
Strawberries,0.7478991596638656,4.61,3.74,4.49,5.24,58.60%
Strawberries,0.7170868347338936,4.36,4.24,5.16,4.99,71.08%
Strawberries,0.6050420168067226,4.99,4.24,4.87,5.74,111.97%
Strawberries,0.6806722689075629,5.32,4.49,4.87,5.74,95.59%
Strawberries,0.815126050420168,4.49,4.49,5.16,4.99,54.77%
Strawberries,0.7871148459383753,3.99,3.74,3.87,4.49,34.53%
Strawberries,0.6918767507002801,3.99,3.74,3.82,3.99,46.60%
Strawberries,0.588235294117647,3.33,3.37,3.74,3.99,58.22%
Strawberries,0.288515406162465,3.17,3.49,3.24,3.74,181.82%
Strawberries,0.3557422969187675,3.49,2.87,3.24,3.99,134.31%
Strawberries,0.3669467787114846,3.49,3.37,3.37,3.74,134.40%
Strawberries,0.3865546218487395,3.99,3.37,3.12,3.49,123.88%
Strawberries,0.4005602240896359,3.66,3.24,3.12,3.74,113.66%
Strawberries,0.3557422969187675,3.16,2.99,3.09,3.54,120.34%
Strawberries,0.3249299719887956,2.91,3.16,2.74,2.74,115.49%
Strawberries,0.2801120448179272,2.62,3.24,2.24,2.82,131.36%
Strawberries,0.2801120448179272,2.09,3.0,2.59,3.12,128.81%
Strawberries,0.2801120448179272,2.59,2.87,2.24,2.99,126.48%
Strawberries,0.24369747899159666,2.62,2.58,2.57,2.87,153.33%
Strawberries,0.1988795518207283,2.49,3.0,2.49,2.74,201.12%
Strawberries,0.1988795518207283,2.71,2.49,2.66,2.83,200.28%
Strawberries,0.2100840336134454,2.33,2.25,2.24,2.99,163.71%
Strawberries,0.23249299719887956,2.44,2.43,2.69,2.87,158.17%
Strawberries,0.22128851540616246,2.48,2.12,2.52,2.62,151.03%
Strawberries,0.2184873949579832,2.19,2.31,2.12,2.74,143.75%
Strawberries,0.22408963585434177,2.57,2.25,2.37,2.99,159.69%
Strawberries,0.22128851540616246,2.59,2.13,2.24,2.74,150.00%
Strawberries,0.2296918767507003,2.37,1.58,2.16,2.67,119.50%
Strawberries,0.2184873949579832,2.19,2.48,2.12,2.49,141.67%
Strawberries,0.19607843137254904,2.21,2.56,2.24,2.37,166.48%
Strawberries,0.22689075630252103,2.13,1.54,2.24,2.99,124.75%
Strawberries,0.21568627450980393,2.49,2.9,2.34,3.16,186.58%
Strawberries,0.17086834733893558,2.12,2.62,2.62,2.44,210.13%
Strawberries,0.1512605042016807,2.57,2.62,2.59,2.57,259.38%
Strawberries,0.23529411764705882,2.44,1.87,1.74,2.26,103.68%
Strawberries,0.257703081232493,2.24,2.94,2.47,2.57,132.27%
Strawberries,0.18207282913165262,2.61,2.22,2.74,2.27,196.39%
Strawberries,0.2184873949579832,2.62,2.62,3.16,3.37,206.51%
